trial_id,split,seed,exec_order,replicate,image_cache_state,cpu_psi_level,cpu_oversubscribe_ratio,ttfs_clusterip_sec,ttfs_podip_sec,ttfs_naive_clusterip_sec,ts_utc,pass,error,uncached_bytes,psi_cpu_avg10,psi_cpu_avg10_pretrial_baseline,thermal_throttle_events_during_trial,thermal_throttle_detected,target_node,cache_image
pilot-013-r15,pilot,42,13,15,cold,high,3,14.069315,15.289643,0.278594,2026-09-09T06:37:57.0635647Z,true,,3147220,47.41,2.31,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-014-r9,pilot,42,14,9,cold,high,3,1.949515,4.465145,-0.661798,2026-09-09T06:39:35.1228123Z,true,,3147220,51.07,2.33,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-015-r4,pilot,42,15,4,warm,high,3,1.580741,4.318037,-0.710932,2026-09-09T06:41:08.093549Z,true,,0,51.26,2.21,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-016-r11,pilot,42,16,11,cold,none,0,6.257162,7.756872,-0.359666,2026-09-09T06:42:27.0024831Z,true,,3147220,1.71,2.06,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-017-r15,pilot,42,17,15,warm,high,3,2.344296,2.512364,-0.308058,2026-09-09T06:43:39.3483764Z,true,,0,49.19,0.2,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-018-r1,pilot,42,18,1,cold,high,3,6.553678,9.723951,-0.312460,2026-09-09T06:45:18.1379623Z,true,,3147220,51.25,2.22,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-019-r4,pilot,42,19,4,warm,threshold,2,2.727658,4.771911,-0.180050,2026-09-09T06:46:51.6003023Z,true,,0,51.13,2.25,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-020-r14,pilot,42,20,14,warm,high,3,2.891900,3.031385,-0.178799,2026-09-09T06:48:24.3074636Z,true,,0,50.64,2.03,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-021-r12,pilot,42,21,12,warm,high,3,2.083224,4.111225,-0.926388,2026-09-09T06:49:57.0268176Z,true,,0,48.1,2.09,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-022-r12,pilot,42,22,12,cold,threshold,2,14.283105,15.271345,0.346827,2026-09-09T06:51:35.2603569Z,true,,3147220,46.15,2.9,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-023-r14,pilot,42,23,14,cold,none,0,6.360700,6.503113,-0.702889,2026-09-09T06:52:50.8419968Z,true,,3147220,2.29,2.66,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-024-r10,pilot,42,24,10,cold,threshold,2,6.523442,7.731145,-0.717390,2026-09-09T06:53:59.149772Z,true,,3147220,46.63,0.03,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-025-r10,pilot,42,25,10,cold,high,3,6.691042,7.854859,-0.572310,2026-09-09T06:55:38.7993641Z,true,,3147220,51.02,2.22,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-026-r10,pilot,42,26,10,warm,none,0,2.881218,2.859120,-0.160211,2026-09-09T06:56:57.2941921Z,true,,0,1.77,2.16,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-027-r3,pilot,42,27,3,warm,high,3,2.950577,2.619500,-0.286303,2026-09-09T06:58:00.3946441Z,true,,0,50.52,0.02,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-028-r5,pilot,42,28,5,cold,none,0,6.153156,7.151618,-0.056193,2026-09-09T06:59:19.2370673Z,true,,3147220,1.88,2.31,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-029-r4,pilot,42,29,4,warm,none,0,3.232526,2.845484,-0.065778,2026-09-09T07:00:06.946349Z,true,,0,0.34,0.02,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-030-r2,pilot,42,30,2,warm,threshold,2,1.358748,3.030626,-0.884648,2026-09-09T07:01:11.7004237Z,true,,0,47.48,0.19,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-031-r15,pilot,42,31,15,warm,threshold,2,2.486070,4.198066,0.003679,2026-09-09T07:02:43.1080277Z,true,,0,44.82,2.19,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-032-r2,pilot,42,32,2,cold,none,0,5.677846,7.198351,-0.708740,2026-09-09T07:04:00.2783571Z,true,,3147220,1.81,2.22,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-033-r2,pilot,42,33,2,warm,high,3,2.757930,3.402261,-0.506893,2026-09-09T07:05:08.2598717Z,true,,0,50.94,0.06,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-034-r7,pilot,42,34,7,warm,threshold,2,2.761643,3.582066,-0.529507,2026-09-09T07:06:41.0795017Z,true,,0,47.84,2.18,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-035-r3,pilot,42,35,3,warm,threshold,2,3.149324,3.746046,-0.144755,2026-09-09T07:08:12.1143162Z,true,,0,49.29,2.81,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
pilot-036-r12,pilot,42,36,12,warm,threshold,2,2.302362,2.970315,-0.246970,2026-09-09T07:09:42.6078847Z,true,,0,48.57,2.31,0,false,worker1,10.99.241.189:5000/reloc/app-a:v1
